Statistics,HS,Prerequisite,Intro_Extra,Countries,Age,Spouse,Gender,Class_Standing,Height,Weight ,Vegetarian,Credits ,Sleep ,Personality,Study_Hours,GPA,Graduate_GPA,Day_Born,Section,Clubs,Global_Warming ,SAT ,Drive,R,Exercise 
Yes,Yes,Yes,Introvert,4,20,No,Male,Sophomore,6,120,No,18,8,Yes,8,3.63,4,Saturday,AA,1,A great deal,600,,Yes,30
No,Yes,Yes,Extrovert,3,18,No,Female,Freshman,66,125 lbs,Yes,18,5,No,12,3.7,3.9,Friday,AC,1,A great deal,800,95,No,105
Yes,No,Yes,Extrovert,5,18,No,Female,Freshman,68,115,No,18,7,Maybe,30,3.59,4,Friday,AF,1,A little,,,Yes,
No,Yes,Yes,Introvert,10,18,No,Male,Freshman,58,128 pounds,No,13,8-Jul,No,5,3.56,3.8,Friday,AC,2,A great deal,790,25,No,0
Yes,Yes,No,Extrovert,10,18,No,Female,Junior,65,125,Yes,18,5,Maybe,35,3.5,3.8,Wednesday,AC,5,A great deal,800,70,No,30
Yes,No,Yes,Extrovert,3,19,No,Male,Sophomore,72,198,No,15,8,No,20,3.9,4,Sunday,AF,0,A great deal,,,No,30
Yes,No,Yes,Introvert,11,20,Yes,Female,Sophomore,54,130,No,14,8,Maybe,20,3.8,3.8,Thursday,AC,1,A great deal,,110,No,60
Yes,No,Yes,Introvert,3,19,No,Female,Freshman,68,150,No,18,8,Yes,15,3.87,3.8,Monday,AA,2,Not al all,,90,No,10
Yes,No,No,Extrovert,1,18,Yes,Female,Sophomore,57,I don't weight myself ,No,15,8,Yes,7,3.15,3.5,Wednesday,AE,0,A great deal,670,80,No,45
Yes,No,Yes,Introvert,4,16,No,Male,Sophomore,72,150,No,20,7,Maybe,40,4,4,Thursday,AD,1,Somewhat,,,Yes,30
Yes,Yes,Yes,Introvert,6,19,Yes,Male,Freshman,66,150,No,15,6,Maybe,20,4,3.9,Wednesday,AE,1,Somewhat,,,No,60
No,Yes,Yes,Extrovert,12,19,No,Female,Sophomore,64,115,No,15,8,Maybe,6,3.63,3.8,Wednesday,AC,0,Somewhat,,,No,20
Yes,No,Yes,Introvert,2,19,No,Female,Sophomore,55,125,No,17,About 8,Maybe,15,3.62,3.9,Wednesday,AE,1,A great deal,640,80,No,45
No,Yes,Yes,Introvert,2,18,Yes,Male,Junior,69,138,No,18,8,Maybe,25,3.97,3.98,Thursday,AA,0,Somewhat,800,50,Yes,30
No,Yes,Yes,Extrovert,3,20,No,Male,Sophomore,75,175 lbs,No,13,8,Maybe,5,3.8,3.5,Wednesday,AA,0,A little,,80,No,30
Yes,Yes,Yes,Extrovert,8,19,No,Female,Freshman,56,115,No,15,7,No,10,3.43,3.5,Monday,AF,2,A great deal,,80,No,15
Yes,No,Yes,Extrovert,5,19,Yes,Female,Freshman,75,110,No,17,8 hours ,Maybe,4,3.65,4,Sunday,AF,0,Somewhat,,,No,60
Yes,No,Yes,Extrovert,4,18,Yes,Male,Freshman,71,176,No,15,7,Maybe,4,4,4,Wednesday,AA,0,Somewhat,,,No,60
Yes,No,Yes,Introvert,7,19,No,Male,Freshman,68,135,No,15,7,Maybe,3,3.98,4,Thursday,AC,0,Somewhat,,,No,40
Yes,No,Yes,Extrovert,6,19,No,Female,Freshman,71,149,No,15,8,No,0,3.97,3.9,Saturday,AD,0,A little,,,No,
Yes,Yes,No,Extrovert,3,20,Yes,Male,Sophomore,71,,No,18,,Maybe,10,4,4,Wednesday,AD,4,A great deal,,,Yes,
Yes,Yes,Yes,Introvert,5,19,No,Male,Sophomore,67,~155,No,15,7,Maybe,12,3.8,3.5,Sunday,AE,0,Somewhat,630,90,No,
No,No,Yes,Introvert,2,20,Yes,Male,Sophomore,68,135,No,14,9,No,15,3.43,3.5,Thursday,AE,0,A great deal,,100,No,60
No,Yes,Yes,Introvert,6,18,No,Male,Junior,67,135,No,18,9,No,18,3.88,3.9,Sunday,AC,2,Somewhat,800,80,Yes,60
Yes,Yes,No,Introvert,4,20,Yes,Male,Sophomore,70,143,No,13,9,Maybe,28,3.85,3.8,Friday,AC,1,Somewhat,760,,No,30
Yes,Yes,Yes,Introvert,6,19,Yes,Female,Freshman,63,101.85 pounds,No,18,7 hr,No,21,3.84,3.9,Friday,AB,3,A great deal,,,No,15
No,No,Yes,Extrovert,11,21,Yes,Male,Junior,71,167,No,15,8,No,10,3.65,4,Tuesday,AC,1,Somewhat,,,Yes,120
No,Yes,Yes,Introvert,4,19,No,Male,Freshman,73,145,No,13,8,Maybe,24,3.67,3,Wednesday,AD,0,Somewhat,770,,No,2
Yes,No,Yes,Introvert,4,20,Yes,Male,Sophomore,60,135,No,18,9,Maybe,10,3.7,3.95,Wednesday,AF,0,A little,,80,No,1.5
No,No,Yes,Introvert,2,21,No,Male,Senior/Other,73,174,No,15,6,Yes,15,2.5,3,Monday,AB,0,Somewhat,700,85,No,2
Yes,Yes,Yes,Introvert,4,19,No,Male,Junior,68,135,Yes,13,7,Maybe,6,3.89,3.8,Wednesday,AD,1,A great deal,760,100,No,20
Yes,No,Yes,Introvert,4,18,No,Female,Junior,60,,Yes,15,8,Maybe,15,2.97,3.5,Friday,AB,0,A great deal,,80,No,30
Yes,No,Yes,Introvert,2,18,No,Male,Freshman,71,153,No,17,8,No,20,3.8,3.75,Thursday,AC,1,Somewhat,800,90,No,120
Yes,No,Yes,Introvert,4,24,No,Female,Junior,61,124,No,18,7,Yes,12,4,3.9,Tuesday,AA,0,A great deal,,95,No,
No,Yes,Yes,Extrovert,1,18,No,Female,Freshman,68,175,No,15,10,Maybe,25,4,3.6,Tuesday,AD,2,Somewhat,770,65,Yes,20
No,Yes,Yes,Extrovert,3,19,No,Female,Sophomore,54,125,No,17,7,Maybe,10,3.83,3.9,Monday,AB,2,A great deal,,100,No,60
Yes,No,Yes,Extrovert,2,19,No,Female,Sophomore,58,115,No,17,6,Maybe,40,3.3,3.7,Wednesday,AE,1,Somewhat,,95,No,0
Yes,No,No,Introvert,6,19,No,Female,Freshman,64,138,No,14,5,Yes,35,3.53,3.5,Monday,AD,1,A great deal,,90,No,80
No,Yes,Yes,Introvert,4,18,No,Female,Freshman,60,140,No,15,6,Maybe,3,3.45,3.9,Wednesday,AF,2,A great deal,760,85,Yes,60
Yes,Yes,Yes,Introvert,3,18,Yes,Female,Freshman,5.2,99,No,18,10,No,15,3.72,3.8,Wednesday,AB,1,A little,800,,No,30
Yes,No,Yes,Introvert,3,19,Yes,Female,Junior,54,97,No,15,6,No,10,3.43,3.5,Saturday,AC,3,A great deal,,75,No,30
Yes,No,Yes,Introvert,10,18,No,Female,Sophomore,68,170,No,15,8,Maybe,10,3.94,3.8,Friday,AE,0,A great deal,,80,No,60
Yes,Yes,Yes,Introvert,5,18,Yes,Male,Sophomore,178,125,No,17,10,Maybe,5,3.7,3.9,Friday,AC,0,Not al all,,,No,60
Yes,Yes,Yes,Extrovert,3,19,Yes,Female,Junior,64,125,No,15,7,No,25,3.8,3.84,Monday,AF,3,A great deal,,110,No,60
No,No,No,Introvert,1,24,Yes,Male,Junior,59,155,No,15,8,Yes,10,3.55,3.7,Thursday,AA,0,A great deal,,110,No,45
Yes,No,Yes,Introvert,3,19,No,Female,Sophomore,60,160,No,15,7,Yes,14,3.64,3.7,Thursday,AB,1,Somewhat,,80,No,20
Yes,No,Yes,Extrovert,2,19,Yes,Male,Freshman,69,155,No,18,7,No,5,3.7,3.8,Friday,AF,2,A great deal,670,108,No,90
No,No,No,Introvert,5,20,No,Female,Sophomore,67,120,No,15,7,Maybe,10,3.48,3.5,Wednesday,AE,2,A great deal,,140,Yes,120
Yes,No,Yes,Extrovert,1,20,No,Female,Junior,51,210,Yes,10,8,Yes,35,3.4,4,Monday,AA,0,A great deal,,67,No,30
No,Yes,Yes,Extrovert,4,20,Yes,Female,Sophomore,65,130,No,15,8,Maybe,10,2.83,3.7,Tuesday,AB,0,A great deal,,90,No,20
