Lake,Alkalinity,pH,Mercury
Alligator,5.9,6.1,1.23
Apopka,116,9.1,0.04
Blue Cypress,39.4,6.9,0.44
Brick,2.5,4.6,1.2
Bryant,19.6,7.3,0.27
Cherry,5.2,5.4,0.48
Crescent,71.4,8.1,0.19
Deer Point,26.4,5.8,0.83
Dias,4.8,6.4,0.81
Dorr,6.6,5.4,0.71
Down,16.5,7.2,0.5
Eaton,25.4,7.2,0.49
East Tohopekaliga,7.1,5.8,1.16
Farm-13,128,7.6,0.05
George,83.7,8.2,0.15
Griffin,108.5,8.7,0.19
Harney,61.3,7.8,0.77
Hart,6.4,5.8,1.08
Hatchineha,31,6.7,0.98
Iamonia,7.5,4.4,0.63
Istokpoga,17.3,6.7,0.56
Jackson,12.6,6.1,0.41
Josephine,7,6.9,0.73
Kingsley,10.5,5.5,0.34
Kissimmee,30,6.9,0.59
Lochloosa,55.4,7.3,0.34
Louisa,3.9,4.5,0.84
Miccasukee,5.5,4.8,0.5
Minneola,6.3,5.8,0.34
Monroe,67,7.8,0.28
Newmans,28.8,7.4,0.34
Ocean Pond,5.8,3.6,0.87
Ocheese Pond,4.5,4.4,0.56
Okeechobee,119.1,7.9,0.17
Orange,25.4,7.1,0.18
Panasoffkee,106.5,6.8,0.19
Parker,53,8.4,0.04
Placid,8.5,7,0.49
Rodman,114,7,0.16
Rousseau,97.5,6.8,0.1
Sampson,11.8,5.9,0.48
Shipp,66.5,8.3,0.21
Talquin,16,6.7,0.86
Tarpon,5,6.2,0.52
Tohopekaliga,25.6,6.2,0.65
Trafford,81.5,8.9,0.27
Trout,1.2,4.3,0.94
Tsala Apopka,34,7,0.4
Weir,15.5,6.9,0.43
Wildcat,17.3,5.2,0.25
Yale,71.8,7.9,0.27
